name,description,salary,fulltime,business,location
Housekeeping Staff,"Clean rooms and common areas, report maintenance issues.",$950/month,FALSE,Grand Mirage Hotel,"Bali, Indonesia"
Waiter/Waitress,Serve tables and maintain high service standards.,"€1,200/month",FALSE,Mama Rosa Trattoria,"Florence, Italy"
Delivery Driver,Deliver plants and garden materials to clients.,"$1,600/month",FALSE,The Green Thumb,"Portland, Oregon"
Office Cleaner,Evening cleaning shifts for office buildings downtown.,"$1,200/month",FALSE,Starlight Cleaning Co.,"Toronto, Canada"
Front Desk Receptionist,"Greet guests, manage bookings, assist with inquiries and payments.","$1,200/month",TRUE,Grand Mirage Hotel,"Bali, Indonesia"
Sous Chef,Assist the head chef in daily kitchen operations.,"€2,100/month",TRUE,Mama Rosa Trattoria,"Florence, Italy"
Junior Web Developer,Maintain and update client websites using GitHub workflows.,"€3,500/month",TRUE,TechNova Solutions,"Berlin, Germany"
IT Support Technician,Provide first-line support for server and network issues.,"€3,000/month",TRUE,TechNova Solutions,"Berlin, Germany"
Store Manager,"Oversee plant shop operations, handle inventory and customer orders.","$2,800/month",TRUE,The Green Thumb,"Portland, Oregon"
Cleaning Crew Member,Perform scheduled cleaning of residential properties.,"$1,800/month",TRUE,Starlight Cleaning Co.,"Toronto, Canada"